"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"SMKR1",0.261902828383491,-0.000144589765025947,0.133451526338535,0.956071790239019,NA,"NO"
"LOC103529812",33.1179236280123,0.015578130452551,0.123167275867224,0.185093158305278,0.780433486036399,"NO"
"LOC115598734",10.8990751873383,-0.000114779610625656,0.0980875575463217,0.994290259941053,1,"NO"
"LOC103529814",0.0787897649927742,-9.08886600310369e-05,0.141018017517176,0.967022179697839,NA,"NO"
"LOC103529813",73.4505930054925,0.0129200734124623,0.0875705845486998,0.607100515749361,0.937112190873392,"NO"
"LOC115599488",3.6934939175574,-0.002586820844357,0.112259188230359,0.76729992805465,0.967623260416549,"NO"
"LOC115598737",4.27125146320667,-0.0064095557918006,0.105810074454064,0.615159159464878,0.938089124649441,"NO"
"LOC115598703",34.1351330559209,0.0144542217394663,0.112151659510114,0.296848109052877,0.853521111253372,"NO"
"LOC115598738",30.6025568842146,-0.0146422094330082,0.0902759174596921,0.53663378525865,0.919656127575183,"NO"
"NRF1",105.065991884822,-0.0147753444438942,0.0730422039906651,0.687414304008458,0.953744873898162,"NO"
"UBE2H",846.232334874866,-0.00014848958246581,0.080766947359568,0.996027540379756,1,"NO"
"ZC3HC1",618.111155184248,-0.0416483712109248,0.0800292265685905,0.236689661059476,0.819679166146368,"NO"
"KLHDC10",364.691600289153,-0.0138864242168269,0.0640283992691845,0.732471978199577,0.961136180243951,"NO"
"LOC103530713",3.01265015718925,0.0135254037401487,0.110156030135748,0.334830930327368,0.869811957878277,"NO"
"TMEM209",383.936184217921,-0.00525156351051776,0.0754414433608682,0.87961534348488,0.98414226043628,"NO"
"CPA2",22367.1542461056,-0.00154365748635882,0.102561736369376,0.908380536391699,0.98994598984633,"NO"
"CEP41",2.60879518927889,0.0136321331857822,0.105617271950233,0.384197141878764,0.879190654741191,"NO"
"MEST",259.40787852586,0.00723815150382432,0.0911431104786751,0.736292781259543,0.961946527475424,"NO"
"COPG2",845.779539299244,-0.0220492749443199,0.0784964976332368,0.508163052181598,0.911537418483018,"NO"
"LOC115600467",1.70947965054625,0.00141194508885202,0.103358378207002,0.913246557791457,0.98994598984633,"NO"
"IL15RA",27.9295830108862,-0.015099685738766,0.0853713085927976,0.578086967355074,0.93110887284973,"NO"
"LOC115600468",39.5281654772429,-0.0364445147906355,0.0927785345985901,0.20796124273578,0.79505047725241,"NO"
"FBH1",129.260452076177,-0.00592885774627087,0.0884985513744838,0.798935376745163,0.969732929857579,"NO"
"LOC103529801",3.560348561061,-0.0017270844609977,0.103887481083263,0.891819392561764,0.98735516771156,"NO"
"LOC115600464",309.109754172824,-0.000104159391765715,0.0799353175621635,0.997284922733811,1,"NO"
"TASOR2",201.379175353268,0.0279713854112579,0.079720145617142,0.400208408953649,0.883853082509036,"NO"
"LOC115599513",45.2405344574498,0.00141853992533064,0.0900170819537369,0.947958351272344,0.993528046990028,"NO"
"LOC115599516",17.7251519672158,-0.0136427428246772,0.0925610497699342,0.535697461809635,0.919133008069733,"NO"
"LOC115600466",13.2974197293063,-0.006384374855741,0.0921529525902587,0.7570820250052,0.964856313934311,"NO"
"LOC103527806",87.689477303153,0.00963998866754863,0.0985755614082846,0.579856429744684,0.93110887284973,"NO"
"LOC115600469",16.2173033892841,0.0340078224461577,0.117331695203477,0.117485684940535,0.712252001813553,"NO"
"LOC115599549",82.8263001144285,0.000159502827078069,0.0866855204508637,0.994789243457609,1,"NO"
"LOC103527899",383.615374815783,-0.0131341414324882,0.0747180673386232,0.711290414742959,0.957903263591723,"NO"
"LOC103527805",1.74329412769827,0.0437764324079754,0.193305025876655,0.0182326676149698,0.443125323701079,"NO"
"NET1",3418.53253290189,0.0424387813201714,0.0999489124473941,0.140264395449823,0.742600215434996,"NO"
"SLC35B4",665.222261060063,0.0272898746510453,0.0773713435579113,0.431281026016926,0.890922969909003,"NO"
"EXOC4",563.480854708575,0.0160294003961807,0.0704487752997019,0.675552386403217,0.951287398071785,"NO"
"CHCHD3",4380.15327626502,0.102449730709172,0.0831247234610049,0.0181555742840781,0.443125323701079,"NO"
"PLXNA4",11.7309227906271,-0.0107259247987117,0.103008376652274,0.490944945126144,0.907054476740839,"NO"
"PODXL",1297.18982668004,-0.044027391945984,0.0829741217873737,0.20036669933058,0.792239184393777,"NO"
"MKLN1",835.024676077668,0.0555619423798014,0.0720210091713668,0.163254941999458,0.768191713793085,"NO"
"LOC115599116",0.831334931786904,-0.00242866208969132,0.117529581780093,0.707336601919043,0.956995328812314,"NO"
"LOC103527800",2369.86422106377,-0.00562154110619603,0.104282452881584,0.671277774927854,0.950282407060654,"NO"
"LOC103527890",35.679471014522,0.00662506164466304,0.114201384493922,0.480999011127277,0.903018113265195,"NO"
"LOC103537287",2694.49537415292,-0.00686064250441334,0.103419208551121,0.625013538572039,0.940745939356457,"NO"
"IL2RA",33.4879390760173,-0.00139797271160455,0.0979524965582334,0.93108093452406,0.992491859188505,"NO"
"RBM17",1064.180628152,0.0573774911955643,0.0667512081825373,0.163516722485512,0.768536096340889,"NO"
"PFKFB3",317.768126090616,-0.0173799484457665,0.0958272441467193,0.417195034706313,0.886100092277839,"NO"
"PRKCQ",292.344310443912,0.0259403427047211,0.0945456891350487,0.298359318550889,0.854618480274093,"NO"
"SFMBT2",12.6229016477258,0.00700845766337805,0.0945537796057101,0.714242461915865,0.958985591129859,"NO"
"LOC103527885",49.0354028580185,-0.00474219158584102,0.086267249059644,0.849402983298369,0.980375101004716,"NO"
