"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"SMKR1",0.261902828383491,0,0.357229446033782,1,NA,"NO"
"LOC103529812",33.1179236280123,0.0776993199243684,0.313361763457066,0.128317102504298,0.478671433634559,"NO"
"LOC115598734",10.8990751873383,0.025130006653969,0.181699632931901,0.598991109399688,0.861825905576082,"NO"
"LOC103529814",0.0787897649927742,0,0.380184504495674,1,NA,"NO"
"LOC103529813",73.4505930054925,-0.012877793137507,0.138212897971532,0.825734499602313,0.953715874257854,"NO"
"LOC115599488",3.6934939175574,-0.00789389111224623,0.234333844771935,0.824372435575878,0.953647732224677,"NO"
"LOC115598737",4.27125146320667,0.00733542414957766,0.198700934842905,0.860478307474046,0.968687977816992,"NO"
"LOC115598703",34.1351330559209,-0.0174542911799366,0.195549038285319,0.689451844922222,0.906425823778637,"NO"
"LOC115598738",30.6025568842146,-0.0282342454573466,0.143042354519491,0.626566291312056,0.875427553230915,"NO"
"NRF1",105.065991884822,-0.00496895562985483,0.111092435152403,0.941874797514094,0.99124555056951,"NO"
"UBE2H",846.232334874866,0.0625428006190256,0.127645108063729,0.348975959686778,0.71598738227324,"NO"
"ZC3HC1",618.111155184248,-0.0103188268719329,0.110476755217941,0.879896524211291,0.976079545076492,"NO"
"KLHDC10",364.691600289153,0.0708601624541568,0.0847884631649862,0.285690323944012,0.663603156049471,"NO"
"LOC103530713",3.01265015718925,-0.0111991560949448,0.228762353968463,0.761163591211478,0.931637034561548,"NO"
"TMEM209",383.936184217921,-0.0783292655739559,0.115028639005643,0.263386470320754,0.646139760088726,"NO"
"CPA2",22367.1542461056,4.38293944832969,0.813963164471612,3.45378133704943e-09,2.83900825905463e-06,"UP"
"CEP41",2.60879518927889,0.0342131947801408,0.212477085724751,0.445326605683069,NA,"NO"
"MEST",259.40787852586,-0.0609812055228844,0.172049922744852,0.292986413347997,0.669661460116922,"NO"
"COPG2",845.779539299244,-0.0101890388645213,0.113832953043559,0.880204212407159,0.976265867463898,"NO"
"LOC115600467",1.70947965054625,0.0461105764181955,0.275022552945922,0.270592038687619,NA,"NO"
"IL15RA",27.9295830108862,0.00634687275846103,0.141014420150741,0.91139241212301,0.985071546203657,"NO"
"LOC115600468",39.5281654772429,0.0641885848839399,0.155556200162728,0.294440165371891,0.671317812189068,"NO"
