"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"SMKR1",0.261902828383491,-0.000296164850675007,0.173982610994041,0.921372046428836,1,"NO"
"LOC103529812",33.1179236280123,0.0215534202718469,0.125109513621075,0.0887171307788287,0.86032270242101,"NO"
"LOC115598734",10.8990751873383,-0.0179709931991506,0.118174264650491,0.169281285785581,0.930687367435684,"NO"
"LOC103529814",0.0787897649927742,-0.000600662904275939,0.215151695955131,0.858321794789696,1,"NO"
"LOC103529813",73.4505930054925,-0.00627259553451471,0.0985648656777965,0.771187110276548,1,"NO"
"LOC115599488",3.6934939175574,0.000848284894543486,0.114381307420143,0.891470404257586,1,"NO"
"LOC115598737",4.27125146320667,-0.00327004025387267,0.111163252565746,0.738661370919462,1,"NO"
"LOC115598703",34.1351330559209,-0.00672683200065769,0.109029037507885,0.601590500626326,1,"NO"
"LOC115598738",30.6025568842146,0.0175024187766119,0.101857188688014,0.432734881550799,1,"NO"
"NRF1",105.065991884822,0.0686573735360022,0.109420158067059,0.083780895382847,0.849429472467976,"NO"
"UBE2H",846.232334874866,0.0358789413565124,0.104810410516879,0.205537822965921,0.957014089547709,"NO"
"ZC3HC1",618.111155184248,-0.0208954881729659,0.0901324686039796,0.482925391158295,1,"NO"
"KLHDC10",364.691600289153,-0.0214815746986826,0.0723257660816807,0.495532099229068,1,"NO"
"LOC103530713",3.01265015718925,-0.00259577198778678,0.109211771037712,0.822633841818837,1,"NO"
"TMEM209",383.936184217921,0.0178500262964315,0.0881566245569309,0.549005672805703,1,"NO"
"CPA2",22367.1542461056,0.00259934791053557,0.110460823470872,0.801638362006233,1,"NO"
"CEP41",2.60879518927889,0.000466895377619268,0.107546349082403,0.971347855903474,1,"NO"
"MEST",259.40787852586,-0.0321919873802285,0.121907853485819,0.105725151903311,0.870902678710712,"NO"
"COPG2",845.779539299244,-0.0250146770394263,0.0937891588451937,0.395558842746874,1,"NO"
"LOC115600467",1.70947965054625,0.00257541945909211,0.11113202867573,0.78995938344221,1,"NO"
"IL15RA",27.9295830108862,0.00316281129545039,0.0956771957364789,0.89252165884419,1,"NO"
"LOC115600468",39.5281654772429,0.0138364867050935,0.097843589606914,0.5610132568915,1,"NO"
"FBH1",129.260452076177,0.00303855539934297,0.100079989796045,0.878799852846291,1,"NO"
"LOC103529801",3.560348561061,-0.00169132123818245,0.111173239147845,0.858249093378309,1,"NO"
"LOC115600464",309.109754172824,-0.019674109819142,0.0951099479538487,0.468849073561432,1,"NO"
"TASOR2",201.379175353268,0.0703358507756904,0.123388710796119,0.0520663359227233,0.763050140384776,"NO"
"LOC115599513",45.2405344574498,0.00525683367139607,0.101543829552952,0.781701893894293,1,"NO"
"LOC115599516",17.7251519672158,0.0204578794221372,0.108608863197585,0.292661830644558,1,"NO"
"LOC115600466",13.2974197293063,-0.0473581452589965,0.14910744721281,0.0276680720623109,0.633061247783038,"NO"
"LOC103527806",87.689477303153,0.0241294361959679,0.12212945933674,0.113753801379205,0.874056588625975,"NO"
"LOC115600469",16.2173033892841,0.0161814557967769,0.110406317153322,0.319886168604139,1,"NO"
"LOC115599549",82.8263001144285,-0.0232429058766446,0.1060956709842,0.293584298227419,1,"NO"
"LOC103527899",383.615374815783,0.00262063889113439,0.0824222898687921,0.929511642162427,1,"NO"
"LOC103527805",1.74329412769827,0.0315018438646111,0.225595115767356,0.00631266723385967,0.410509036884228,"NO"
"NET1",3418.53253290189,0.000227687163426588,0.0967538032907718,0.991923416021335,1,"NO"
"SLC35B4",665.222261060063,0.00748332093138653,0.0861021017695269,0.795559883602418,1,"NO"
"EXOC4",563.480854708575,-0.0687807793380028,0.107922099658672,0.0867802810026609,0.854801982865753,"NO"
"CHCHD3",4380.15327626502,0.00927113962628025,0.0751433456192076,0.762821503460482,1,"NO"
"PLXNA4",11.7309227906271,-0.00620203689724018,0.109921809751988,0.602509759476258,1,"NO"
"PODXL",1297.18982668004,-0.00527729138408402,0.087304729557766,0.851846580249781,1,"NO"
"MKLN1",835.024676077668,0.0101225535401279,0.0752114494045888,0.742256056913404,1,"NO"
