"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"SMKR1",0.261902828383491,0,0.237929373361634,1,NA,"NO"
"LOC103529812",33.1179236280123,0.0459704984522306,0.21420791406043,0.178481435044132,0.622439765413674,"NO"
"LOC115598734",10.8990751873383,-0.0248086908073953,0.153819497988431,0.480759730207785,0.855336891227193,"NO"
"LOC103529814",0.0787897649927742,3.38508720092641e-05,0.251105119523858,0.995935285859949,NA,"NO"
"LOC103529813",73.4505930054925,0.0318825869288825,0.127240792288738,0.525717090323912,0.873379560569144,"NO"
"LOC115599488",3.6934939175574,0,0.187438952373764,1,1,"NO"
"LOC115598737",4.27125146320667,0.0406838182756592,0.199093340478818,0.225152026606195,0.679018977222536,"NO"
"LOC115598703",34.1351330559209,-0.0280585826170147,0.175369185758612,0.378570308385554,0.799047940581704,"NO"
"LOC115598738",30.6025568842146,-0.0608855294320446,0.139608857197038,0.221317052129376,0.675286928731019,"NO"
"NRF1",105.065991884822,0.111926288808898,0.10739632773513,0.0904217943346438,0.486050973253532,"NO"
"UBE2H",846.232334874866,0.000889970317119186,0.114378064199191,0.987540337482893,1,"NO"
"ZC3HC1",618.111155184248,-0.0859946687517895,0.111103476414789,0.177082149310642,0.621300145181987,"NO"
"KLHDC10",364.691600289153,-0.0600854039891786,0.0816177373640139,0.324451245620458,0.761534719411412,"NO"
"LOC103530713",3.01265015718925,-0.012420019637095,0.164290947338432,0.673167475423699,0.928948987404279,"NO"
"TMEM209",383.936184217921,0.0696313095785922,0.107186803523654,0.269662616918838,0.720631816379437,"NO"
"CPA2",22367.1542461056,0.519919169087464,0.822451246622617,0.00142961250437245,0.0643686412457666,"NO"
"CEP41",2.60879518927889,-0.0279105720982221,0.164857240856792,0.405748368112019,0.818975637322953,"NO"
"MEST",259.40787852586,-0.0617011344992344,0.149914978600616,0.189216775746101,0.636055355681605,"NO"
"COPG2",845.779539299244,-0.0640170158926592,0.111309285395161,0.299957242072431,0.742520180844821,"NO"
"LOC115600467",1.70947965054625,0.0334468962268235,0.20121857044618,0.272125234094301,NA,"NO"
"IL15RA",27.9295830108862,0.0188742017739732,0.121560374362963,0.721593115072606,0.939683295341788,"NO"
"LOC115600468",39.5281654772429,-0.0747683637588281,0.130638564828002,0.183276720840027,0.627617235256648,"NO"
"FBH1",129.260452076177,-0.0527760493129849,0.137208050132144,0.278800242234713,0.728945934679622,"NO"
"LOC103529801",3.560348561061,-0.0348186925565361,0.207577092619859,0.249572660532988,0.70423271225066,"NO"
"LOC115600464",309.109754172824,-0.0187722071663707,0.113089799643123,0.746331697436623,0.946523421419284,"NO"
"TASOR2",201.379175353268,0.101623954383948,0.118460526687258,0.111898695241558,0.526067747496769,"NO"
"LOC115599513",45.2405344574498,0.0151920314558718,0.132186637861819,0.731616339177549,0.942545337651869,"NO"
"LOC115599516",17.7251519672158,0.0280752115115295,0.135610293417743,0.522686240175053,0.872818454184702,"NO"
"LOC115600466",13.2974197293063,-0.0491740077555325,0.150161513919112,0.256654212564942,0.710340062763215,"NO"
"LOC103527806",87.689477303153,0.0102545722692397,0.143654270155468,0.775459007646333,0.955001571653443,"NO"
"LOC115600469",16.2173033892841,0.075687478444159,0.183222958077047,0.104050780287565,0.513926674488439,"NO"
"LOC115599549",82.8263001144285,0.0345474835990521,0.128552455451269,0.487412894190707,0.858862759031928,"NO"
"LOC103527899",383.615374815783,-0.042442518125222,0.102170453029846,0.496017230788204,0.861996821298248,"NO"
"LOC103527805",1.74329412769827,0.00708221833629348,0.160887334829608,0.80929867047438,NA,"NO"
"NET1",3418.53253290189,0.00897479066409756,0.122626783665279,0.862087423388274,0.975036369166676,"NO"
"SLC35B4",665.222261060063,0.0531879330878637,0.106454630001025,0.392050803592399,0.809352759428401,"NO"
"EXOC4",563.480854708575,-0.0164436803527725,0.092222637159426,0.791490002607237,0.958510343374998,"NO"
"CHCHD3",4380.15327626502,0.207144591012957,0.106996956358394,0.00384009234798221,0.107259565719667,"NO"
"PLXNA4",11.7309227906271,-0.0376708323896619,0.165016013346341,0.304212932143504,0.745541616280994,"NO"
"PODXL",1297.18982668004,-0.0321432977644652,0.108149254971862,0.595591387864911,0.902031846202813,"NO"
"MKLN1",835.024676077668,0.0558959978025471,0.0913900473717809,0.374045038450557,0.795862008499103,"NO"
"LOC115599116",0.831334931786904,-0.0118448382754962,0.209789398517968,0.538331891151879,NA,"NO"
"LOC103527800",2369.86422106377,-0.0339723439020557,0.184109408274141,0.299200843607837,0.742408300429525,"NO"
"LOC103527890",35.679471014522,-0.0177742920219234,0.195628079034364,0.477145770768641,0.853389707740792,"NO"
"LOC103537287",2694.49537415292,0.190862685867245,0.456870745321545,0.0118367739611029,0.179539080496091,"NO"
"IL2RA",33.4879390760173,-0.00721536184312844,0.146449451343379,0.832938104390844,0.970299176838369,"NO"
"RBM17",1064.180628152,0.203017494492431,0.0957574064180824,0.00314615218259022,0.0973328603617317,"NO"
"PFKFB3",317.768126090616,0.0038291098106708,0.134139271128891,0.927045249468276,0.988228534230735,"NO"
"PRKCQ",292.344310443912,0.0510581304648222,0.134583436641419,0.302475228874914,0.74434981753994,"NO"
"SFMBT2",12.6229016477258,0.0619859184706555,0.167179803922528,0.159267915491431,0.596677235378496,"NO"
"LOC103527885",49.0354028580185,-0.00432866263216343,0.124506738841646,0.93106172081049,0.988228534230735,"NO"
"ITIH5",464.789243148988,0.0100016765049353,0.128314542371794,0.831690803619379,0.969468853473479,"NO"
"ITIH2",2123.75169017065,-0.105613040312129,0.304232554071441,0.0405772518999757,0.336105840108039,"NO"
