"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"SMKR1",0.261902828383491,0.00028981122199574,0.259686902716925,0.976736569239794,NA,"NO"
"LOC103529812",33.1179236280123,0.135868462002598,0.231556434599381,0.0454165855422124,0.316526016789412,"NO"
"LOC115598734",10.8990751873383,-0.0445522018831166,0.18558470202364,0.356164107305303,0.7610527178534,"NO"
"LOC103529814",0.0787897649927742,0,0.291346453768964,1,NA,"NO"
"LOC103529813",73.4505930054925,0.022527944738689,0.145447100400669,0.736645922480339,0.952374033977842,"NO"
"LOC115599488",3.6934939175574,0.0843855012220945,0.26020543219955,0.0548213187350701,0.342760005860385,"NO"
"LOC115598737",4.27125146320667,-0.0328476247210606,0.199773464853918,0.368794744888141,0.76800076307479,"NO"
"LOC115598703",34.1351330559209,0.0590088419270841,0.177356336718956,0.30083197806142,0.717281481722688,"NO"
"LOC115598738",30.6025568842146,-0.063726599451814,0.152491032457975,0.355911718557899,0.7610527178534,"NO"
"NRF1",105.065991884822,-0.0130380731353008,0.1162736103091,0.860138192663067,0.989250562834732,"NO"
"UBE2H",846.232334874866,-0.0298198498229769,0.127047373604768,0.683368418803323,0.931478031574582,"NO"
"ZC3HC1",618.111155184248,-0.140424461342529,0.126659675815231,0.0796905495124341,0.407770497908955,"NO"
"KLHDC10",364.691600289153,-0.093949850750484,0.0848093136831477,0.169707695421836,0.574640485467919,"NO"
"LOC103530713",3.01265015718925,0.0368047688585629,0.193376457425947,0.37431263519358,0.771143999873946,"NO"
"TMEM209",383.936184217921,-0.0470161717693814,0.11543642905656,0.529228644742007,0.872237210976265,"NO"
"CPA2",22367.1542461056,-0.116290412003004,0.279861229524438,0.0335684181316951,0.274736341592769,"NO"
"CEP41",2.60879518927889,-0.0636818080861735,0.204228335762618,0.182499492402907,0.591671880486668,"NO"
"MEST",259.40787852586,0.000575044961239764,0.156824751366013,0.992333364796951,1,"NO"
"COPG2",845.779539299244,-0.0558771946063719,0.119401407378446,0.456202434927592,0.827409842464193,"NO"
"LOC115600467",1.70947965054625,-0.00578667935845073,0.198540833889033,0.838213088847575,0.983449982216053,"NO"
"IL15RA",27.9295830108862,-0.00936835298259813,0.15686391895517,0.87599504350314,0.991169263833589,"NO"
"LOC115600468",39.5281654772429,0.0261359046889566,0.156447839393092,0.671642786000836,0.925986846166589,"NO"
"FBH1",129.260452076177,-0.0936800515397711,0.16956890622744,0.176940128858288,0.582722824373295,"NO"
"LOC103529801",3.560348561061,0.0027016538430175,0.186602030847455,0.942046057452123,1,"NO"
"LOC115600464",309.109754172824,0.0316008197530245,0.127689033587942,0.665373092282183,0.92359011016451,"NO"
"TASOR2",201.379175353268,-0.0431270369440507,0.119967505518165,0.562492946036458,0.885372248611558,"NO"
"LOC115599513",45.2405344574498,0.0229308297327344,0.153228421387908,0.716489600677177,0.944495970209724,"NO"
"LOC115599516",17.7251519672158,-0.109410654207273,0.20476115623055,0.0884571136991531,0.425721769464253,"NO"
"LOC115600466",13.2974197293063,-0.101687294332299,0.195911168619292,0.111561614295894,0.474543901089919,"NO"
"LOC103527806",87.689477303153,0.0198353188844533,0.170746637361467,0.699414157247881,0.938285410863297,"NO"
"LOC115600469",16.2173033892841,0.0809485402180949,0.189281129415349,0.171270677320011,0.576160568001968,"NO"
"LOC115599549",82.8263001144285,-0.0327407852409181,0.146856567305339,0.626061496626809,0.906232166247295,"NO"
"LOC103527899",383.615374815783,0.13951163318579,0.118557069215331,0.0772299367393706,0.402385365785788,"NO"
"LOC103527805",1.74329412769827,-0.00577738302902694,0.198564936307649,0.838361236144936,0.983449982216053,"NO"
"NET1",3418.53253290189,0.0483589034174964,0.142674583854115,0.491838064154459,0.849236505796556,"NO"
"SLC35B4",665.222261060063,-0.0629668420598817,0.117612770330151,0.40305503941466,0.790328456591743,"NO"
"EXOC4",563.480854708575,-0.0199355100890993,0.100168722337146,0.78447999230649,0.970260316472291,"NO"
"CHCHD3",4380.15327626502,0.0134132222508463,0.0912890272572274,0.849327392365327,0.986392101445642,"NO"
"PLXNA4",11.7309227906271,-0.0307653549222671,0.176204983138826,0.536354847590933,0.874259911837069,"NO"
"PODXL",1297.18982668004,0.235125162956935,0.15573237676921,0.00988935388210991,0.144551207747229,"NO"
"MKLN1",835.024676077668,0.00809490580394497,0.0940936316471917,0.909777850532801,0.996410082859048,"NO"
"LOC115599116",0.831334931786904,0,0.208552050554711,1,NA,"NO"
"LOC103527800",2369.86422106377,0.0299356864045554,0.188495633123037,0.472874524121326,0.838243576209717,"NO"
"LOC103527890",35.679471014522,0.0567575826083771,0.264143183136995,0.0601389378974912,0.360009970278871,"NO"
"LOC103537287",2694.49537415292,-0.0491208299900619,0.205173165910535,0.233969121506102,0.64620823932882,"NO"
"IL2RA",33.4879390760173,-0.0140375802798819,0.191537976354426,0.688670412659099,0.933627301197885,"NO"
"RBM17",1064.180628152,0.0664970243656712,0.0878505721855683,0.339173140387907,0.751637800315233,"NO"
"PFKFB3",317.768126090616,0.199250129955695,0.250367371489336,0.0175455901296154,0.198827282238635,"NO"
"PRKCQ",292.344310443912,-0.000389156274717807,0.143654280978533,0.995369186772454,1,"NO"
"SFMBT2",12.6229016477258,-0.0251621939726978,0.170882284521687,0.62962500705876,0.908302720702802,"NO"
"LOC103527885",49.0354028580185,0.180428054363049,0.20166103682177,0.0310697441268926,0.265807040268391,"NO"
"ITIH5",464.789243148988,0.0526601517651376,0.154340113103178,0.428509256650621,0.808607659887059,"NO"
"ITIH2",2123.75169017065,-0.0289167020711343,0.199427139005534,0.409865079763797,0.795596206115409,"NO"
"KIN",756.172484224256,-0.257736970162861,0.166986173777485,0.00654460621531891,0.114729505447037,"NO"
"ATP5F1C",13302.8919931844,-0.0923788183859656,0.0959731907950679,0.202984174770051,0.617970768608988,"NO"
"TAF3",1179.75187307579,0.213576907262411,0.10973154367772,0.006951791299327,0.119608565059141,"NO"
"GATA3",142.689285831423,-0.0532519948929065,0.16246644357224,0.397188600656028,0.785590319945751,"NO"
"CELF2",295.261181470449,-0.0773863438126415,0.159045811534896,0.263530882373914,0.678198764407828,"NO"
"USP6NL",980.785770675748,-0.0284968169611787,0.107865516081859,0.700268577545096,0.938285410863297,"NO"
"ECHDC3",578.948083190393,0.155092309814757,0.12254915760738,0.0536843975185299,0.339263974430848,"NO"
"PROSER2",902.443964851311,-0.0168949243719099,0.137285402690626,0.809102372082915,0.982847828813687,"NO"
"UPF2",1865.64031131625,0.192368984834098,0.0734097210352682,0.0020458232604929,0.0599728599445992,"NO"
"LOC115598373",2.54202845713284,0.0797891407406169,0.271887823716324,0.0454844989984625,0.316847803013668,"NO"
"DHTKD1",509.966113251164,-0.0399133807028037,0.130429332968716,0.584215220878687,0.89311219236333,"NO"
"SEC61A2",608.452858605782,0.141679368040783,0.127161746932676,0.0775356000584448,0.403228118118167,"NO"
"NUDT5",509.766170862043,-0.216197081240737,0.162789551006088,0.0164169751260229,0.193362385603847,"NO"
"CDC123",637.395731944247,-0.00412757924929377,0.102281318699537,0.955039180712918,1,"NO"
"CAMK1D",314.005641206641,0.00519626149593816,0.157641211426847,0.930272842225544,1,"NO"
"CCDC3",137.937319264925,0.0187496541453673,0.152715884195773,0.766290216959695,0.963100244221961,"NO"
"OPTN",4735.6953593209,0.105186740936045,0.107626721901893,0.164786757361542,0.567179361131259,"NO"
"MCM10",91.9097764270527,-0.0422875954681084,0.172808640017793,0.440092586730527,0.817471038497127,"NO"
"PHYH",4527.30986480027,-0.0590990575368422,0.13586636407555,0.419492710305401,0.801803313628962,"NO"
"SEPHS1",536.259818928172,-0.093802300159408,0.10485074320294,0.210249841354706,0.623138283112086,"NO"
"LOC115598964",115.242616874592,-0.06622675718885,0.140978358808101,0.362864307188149,0.765338956126926,"NO"
"BEND7",1170.37563862539,-0.0608108843196857,0.117568660096422,0.418811640730294,0.801803313628962,"NO"
"PRPF18",1312.76036911567,-0.00748744376606438,0.0737245598511354,0.905212516873263,0.996184182217375,"NO"
"FRMD4A",271.686923829613,0.0808265237411217,0.139508873182499,0.279327088712547,0.695108022218192,"NO"
"FAM107B",316.737962482164,0.0178532582725896,0.152826062820972,0.776723457883143,0.96738346143506,"NO"
"LOC115600439",3.46000007433343,0.0296608415122521,0.206348832501885,0.351138800295559,0.758487420569501,"NO"
"HSPA14",417.826176295876,-0.0227644899813574,0.0948091959571662,0.750752112590647,0.957611425539037,"NO"
"SUV39H2",906.459353791402,-0.0609390422246136,0.101104025227644,0.406926714239751,0.793207340900285,"NO"
"DCLRE1C",99.8208098514644,0.0781543387417656,0.128359384750664,0.302492026094072,0.719473852826654,"NO"
"MEIG1",5.20901341429381,-0.0393903733877585,0.209973126982039,0.25837518302917,0.672188903412378,"NO"
"TMEM243",90.7562554098845,0.0593098906076982,0.228886933018281,0.123609626155449,0.500261505707501,"NO"
"DMTF1",321.01239830967,0.0284520606270788,0.103382795376508,0.698680556896198,0.93798910692292,"NO"
"KIAA1324L",31.1621082659301,-0.0409583798716225,0.165322816513178,0.48636587783855,0.846472061927979,"NO"
"GRM3",1.56703849096263,0,0.199889866438386,1,1,"NO"
"SEMA3D",276.98849155365,-0.020759420706269,0.149122685232101,0.749910343133872,0.95745956110828,"NO"
"SEMA3A",35.1732981942664,0.0159049283148621,0.176903059577822,0.730510741499286,0.950255433219996,"NO"
"SEMA3E",39.6597389662405,0.237688929681205,0.311242492927283,0.00856915338309414,0.134422252154823,"NO"
"PCLO",19.7237545355821,-0.0542130155311074,0.211342886132836,0.189686714544674,0.602376223809006,"NO"
"CACNA2D1",710.584610539075,0.112302176820084,0.155627487722522,0.141350268953347,0.531449295525576,"NO"
"HGF",34.9439080832568,0.286943203739333,0.427083809433663,0.00396940279544865,0.0857525966705077,"NO"
"SEMA3C",998.584961914363,0.197325633970252,0.207644133637163,0.0229321419312325,0.226781866507103,"NO"
"CD36",7837.28139976886,0.00556003903612734,0.137910256384696,0.936173915642823,1,"NO"
"LOC103527773",1.68793770184106,0.0527758834522455,0.209758763476745,0.200501951061153,0.61591037249293,"NO"
"LOC103527772",416.757744373416,0.123938263942615,0.136212497041816,0.118554455632222,0.49026506297627,"NO"
"MAGI2",28.9591538908482,0.0649832404293941,0.184621777602405,0.24285478932438,0.65612214401635,"NO"
"PHTF2",760.689073735566,-0.0157656771521479,0.143584462281485,0.815151957300876,0.982881775903383,"NO"
"TMEM60",167.326048878279,-0.105683903226462,0.100947917470784,0.154235614823857,0.552006258084315,"NO"
"RSBN1L",725.334510907603,0.1791050967733,0.110217339081398,0.0223774440085725,0.224582081068919,"NO"
"PTPN12",714.768215861826,0.111113505969026,0.0961478998083007,0.127130573639579,0.506669497831896,"NO"
"GSAP",297.846650340168,-0.0122218332325344,0.141053096141342,0.858117226512931,0.988551849252326,"NO"
"CCDC146",11.8626289249558,-0.0206958102160028,0.171538051952487,0.684502225801045,0.93193480353386,"NO"
"FGL2",476.286215129118,-0.0118684439049323,0.141259889637661,0.861988410968256,0.989771734026461,"NO"
"FAM185A",717.993068088641,0.0351031398505073,0.114535623918259,0.637108974601474,0.910972934321646,"NO"
"LRRC17",20.2896273477297,-0.0101369606897407,0.175510378088357,0.827403742304624,0.982881775903383,"NO"
"ARMC10",172.605900143919,-0.238403713208259,0.18088348136348,0.0111480881312307,0.154137654968146,"NO"
"NAPEPLD",602.389893840985,0.0775859554502443,0.118877173975176,0.307150117832918,0.723332094651807,"NO"
"PMPCB",1830.45019755562,0.0285172823099606,0.0918115349880577,0.687133266062937,0.932849356526744,"NO"
"DNAJC2",1034.12239341376,-0.048912791897535,0.0816062899178805,0.464628075134115,0.833522906139557,"NO"
"PSMC2",2671.6670060428,-0.0981555135328975,0.0772187250592647,0.129629387037344,0.511117169181606,"NO"
"SLC26A5",1133.50932633902,0.0146435199612235,0.134549126005874,0.836037352768855,0.983449982216053,"NO"
"RELN",263.202922841338,-0.0106212120490761,0.159767735011028,0.855213432154362,0.98818169496212,"NO"
"ORC5",108.614919540008,-0.207633730152349,0.158987141770614,0.0194875494914563,0.208205321656153,"NO"
"LHFPL3",0.863135040321239,0,0.199427162811216,1,NA,"NO"
"LOC115598045",170.826030044406,-0.444216310073153,0.257395743930244,0.000468050738019287,0.0240555192457213,"NO"
"KMT2E",1875.51814749914,-0.10705968178722,0.113023519681231,0.1628576242321,0.564059335493107,"NO"
"SRPK2",613.644101574092,0.0583219871317962,0.110394095141369,0.435630926248665,0.813734319622314,"NO"
"PUS7",297.129705494082,-0.165388471322126,0.147754927647835,0.0483246327539732,0.32483158354412,"NO"
"RINT1",983.97683645161,-0.095698455663472,0.113358534576016,0.209952290163903,0.623057781848155,"NO"
"EFCAB10",170.828604653532,0.046961011340422,0.157110754566633,0.46526029176807,0.833977642304562,"NO"
"ATXN7L1",474.896557344478,0.109894901852082,0.12162162254747,0.157891528225811,0.557230312156993,"NO"
"CDHR3",259.187363259319,0.0384389172853177,0.137930656519677,0.587968985722348,0.89404599776562,"NO"
"SYPL1",2.89576913384791,0.0275213665439533,0.213271479923266,0.315548871549433,0.730823211467008,"NO"
"LOC115599713",4.78141087675855,0.0307239138149186,0.187858863524548,0.46812620196345,0.835722545781374,"NO"
"NAMPT",8302.96935122118,0.0630798945479262,0.12489089016402,0.400686425705323,0.788089824786374,"NO"
"CCDC71L",139.895534181196,0.122460258447474,0.162163825962089,0.111899763354698,0.475200237692737,"NO"
"PIK3CG",566.935431940251,-0.0258863886019029,0.131374440607118,0.719315245448972,0.945104369853492,"NO"
"PRKAR2B",146.529698414479,0.0730222490456838,0.173125258623799,0.245555769449803,0.659142425528087,"NO"
"HBP1",2442.32409686354,0.126208860297533,0.124806219537587,0.110372436539106,0.472368694126478,"NO"
"COG5",524.159733458964,0.0255778093197882,0.0873530274889456,0.711883304477758,0.942410370127813,"NO"
"GPR22",0.941971733728691,-0.00548751563791444,0.19933065088788,0.843028761463772,NA,"NO"
"DUS4L",391.90210104446,0.043456739571686,0.102524984411764,0.554470053896804,0.881179781571071,"NO"
"LOC115598458",8.16731921703572,-0.0216836836095603,0.172394335720821,0.66753234064181,0.924172114122414,"NO"
"BCAP29",1103.65019916017,-0.0845930379599488,0.0871549131281157,0.222702151220783,0.635180568460947,"NO"
"SLC26A4",9.57412812572728,0.0386763275432059,0.17500636561369,0.461545367963508,0.831851076710033,"NO"
"CBLL1",352.088845086876,0.100698781045183,0.100213431426252,0.172975245755507,0.578426367853482,"NO"
"SLC26A3",2702.70402032607,-0.111438141535816,0.325421869049362,0.0188418824127777,0.205362056718452,"NO"
"DLD",11086.0289882491,0.0437468216470307,0.104269476118451,0.553370402374514,0.881179781571071,"NO"
"LAMB1",1380.46150448421,0.466320494479737,0.252556811072181,0.000307412176612826,0.018606406971044,"NO"
"LAMB4",0.762731442888514,-0.00213686796590786,0.203306420107782,0.930179015470057,NA,"NO"
"ERGIC2",2049.3187915573,0.0362451875124207,0.11226478588958,0.626153599942979,0.906232166247295,"NO"
"LRRK2",471.122055486504,0.076943064605809,0.106339597430027,0.303372072049422,0.720055120452708,"NO"
"SLC2A13",437.008478759997,0.0162008539841357,0.118546656650617,0.826448109545656,0.982881775903383,"NO"
"C1H12orf40",0.827798717124735,-0.0447067588432541,0.225473076176887,0.162055578582774,NA,"NO"
"ABCD2",1994.70229436811,0.137250246988062,0.143789965139701,0.0890181099215608,0.427452312011751,"NO"
"KIF21A",925.428033279237,-0.0612573919463017,0.13873018128665,0.399962914550236,0.787550270739169,"NO"
"LOC103527837",20711.3811843821,-0.216143335024856,0.544606922906544,0.00265605443595739,0.0692427214583311,"NO"
