"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"SMKR1",0.261902828383491,-0.000482051625993688,0.45879775114574,0.986421001012089,NA,"NO"
"LOC103529812",33.1179236280123,-0.327942452147438,0.624593311637313,0.0185417816851883,0.128220373058475,"NO"
"LOC115598734",10.8990751873383,-0.0403387113487865,0.237931041103872,0.629223591151391,0.832567749745416,"NO"
"LOC103529814",0.0787897649927742,-0.00169206099227087,0.486816402993914,0.943548440674048,NA,"NO"
"LOC103529813",73.4505930054925,-0.0917147612623712,0.185872297386239,0.327564341970845,0.622463833437607,"NO"
"LOC115599488",3.6934939175574,0.0714417479368451,0.363688339212826,0.312038038645309,0.60710344991429,"NO"
"LOC115598737",4.27125146320667,0.0559087297330106,0.289466926464237,0.492512079545513,0.749218530913231,"NO"
"LOC115598703",34.1351330559209,-0.159899561332252,0.409324617532447,0.108899732543843,0.352694777081522,"NO"
"LOC115598738",30.6025568842146,-0.102359712389548,0.205672036405432,0.279129441029908,0.578414601166465,"NO"
"NRF1",105.065991884822,0.0992692268697214,0.124188978063628,0.277592208513436,0.576987847425517,"NO"
"UBE2H",846.232334874866,-0.0364419229818122,0.14945883959732,0.692812360890717,0.866656381424474,"NO"
"ZC3HC1",618.111155184248,0.0371259597550709,0.131016083946349,0.685969005884405,0.863008869192429,"NO"
"KLHDC10",364.691600289153,0.0313705535182146,0.0935906411440431,0.692506031404691,0.866649591077524,"NO"
"LOC103530713",3.01265015718925,-0.0371540854315873,0.269480376172465,0.643871128620266,0.842254026053932,"NO"
"TMEM209",383.936184217921,0.177413237121688,0.14200752398462,0.0682989296110305,0.273630820852954,"NO"
"CPA2",22367.1542461056,0.068086212781704,0.288449309416934,0.420370755103944,0.694211562461309,"NO"
"CEP41",2.60879518927889,-0.163367209689489,0.373249505357815,0.121511226817507,0.372974137713179,"NO"
"MEST",259.40787852586,0.0719888385193773,0.204390117967552,0.424049902366109,0.696887076162518,"NO"
