BirdID,File,Month,Day,Year,date ,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,163.2555,23.17563,1.09341,0.101972,22.87775,22.35053,101.0693,0.088483,0.93671
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,163.5055,23.1757,1.09192,0.102545,22.92799,22.38102,101.0514,0.086905,0.92002
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,163.7555,23.17577,1.09499,0.104271,22.95553,22.29342,101.069,0.087392,0.92517
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,164.0055,23.17583,1.09699,0.103513,22.93005,22.32886,101.052,0.088914,0.94126
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,164.2555,23.1759,1.09634,0.104455,22.88132,22.33404,101.0658,0.090519,0.95823
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,164.5055,23.17597,1.09714,0.102696,22.88933,22.29447,101.0768,0.087566,0.92701
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,164.7555,23.17604,1.09961,0.103076,22.85915,22.35972,101.0603,0.088836,0.94044
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,165.0056,23.17611,1.09417,0.101853,22.8944,22.33648,101.0481,0.091062,0.96397
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,165.2556,23.17618,1.09828,0.103517,22.92741,22.36539,101.0664,0.08733,0.92451
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,165.5056,23.17625,1.09915,0.102608,22.90449,22.29731,101.055,0.087519,0.92651
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,165.7556,23.17632,1.09553,0.101529,22.90485,22.36607,101.0389,0.088943,0.94157
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,166.0056,23.17639,1.09479,0.100181,22.95065,22.28648,101.0543,0.086163,0.91217
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,166.2556,23.17646,1.09952,0.103759,22.95885,22.34322,101.0508,0.088208,0.93379
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,166.5056,23.17653,1.09961,0.10324,22.92595,22.23433,101.0395,0.089852,0.95118
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,166.7556,23.1766,1.09791,0.102037,22.89147,22.29351,101.0697,0.089108,0.94331
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,167.0056,23.17667,1.09773,0.104266,22.8896,22.34768,101.0502,0.087364,0.92487
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,167.2556,23.17674,1.09819,0.103799,22.90573,22.31177,101.0432,0.08536,0.90368
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,167.5056,23.17681,1.09828,0.104048,22.88669,22.32301,101.0642,0.08802,0.93181
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,167.7556,23.17688,1.09801,0.10099,22.94215,22.32711,101.0697,0.085308,0.90313
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,168.0056,23.17695,1.09692,0.104166,22.87468,22.32232,101.0526,0.088027,0.93188
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,168.2557,23.17702,1.09783,0.102548,22.93825,22.31597,101.0698,0.089012,0.9423
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,168.5057,23.17708,1.09798,0.103601,22.90201,22.30697,101.0674,0.089244,0.94475
CAAN18,CAAN18_0727_2342_analyzed,7,27,2021,7/27/2021,168.7557,23.17715,1.09983,0.103634,22.88258,22.32642,101.0656,0.087134,0.92244
