BirdID,Deep_torpor,Transition,Normothermic,Surf_Temp,Isoflurane_start,Time_transitionStart,Tamb_euthanasia,Temp_diff
CAAN01,,,Y,36,129,NA,19.9,16.1
CAAN02,Y,,,16.6,100,2330,13.7,2.9
CAAN03,Y,,,19.8,214,2455,17.2,2.6
CAAN04,Y,,,21.6,2450,2230,19.9,1.7
CAAN05,Y,,,20.4,2450,2325,18.3,2.1
CAAN06,,,Y,35.8,2440,NA,19.6,16.2
CAAN07,,Y,,24.9,2300,2230,18.1,6.8
CAAN08,,,Y,33.7,240,NA,11.4,22.3
CAAN09,,,Y,31.3,2445,NA,13.7,17.6
CAAN10,,,Y,32.3,203,NA,17.6,14.7
CAAN11,,Y,,23.9,2455,2430,16.9,7
CAAN12,,Y,,24.4,140,2230,18.2,6.2
CAAN13,,Y,,24.6,2307,2230,18.2,6.4
CAAN14,Y,,,16,2339,2201,14.8,1.2
CAAN15,,Y,,24.3,2237,2205,15.3,9
CAAN16,Y,,,18.6,2317,2130,17.2,1.4
CAAN17,,,Y,34.5,2336,NA,21.4,13.1
CAAN18,,Y,,25,2352,2315,20.3,4.7
