BirdID,Metabolic_State,mean_VO2,Surf_Temp,end_time
CAAN01,Normothermy,1.4812099208333334,36,2021-06-22T01:28:39Z
CAAN02,Deep torpor,0.12696445566666667,16.6,2021-06-24T00:59:42Z
CAAN03,Deep torpor,0.1790499375,19.8,2021-06-25T02:09:04Z
CAAN04,Deep torpor,0.30998757541666666,21.6,2021-06-29T00:43:51Z
CAAN05,Deep torpor,0.1657388829166667,20.4,2021-06-30T00:46:15Z
CAAN06,Normothermy,0.6099680625,35.8,2021-07-03T00:38:47Z
CAAN07,Transition,0.3792818029166667,24.9,2021-07-06T22:54:12Z
CAAN08,Normothermy,1.2989637833333334,33.7,2021-07-08T02:38:15Z
CAAN09,Normothermy,0.8432782000000001,31.3,2021-07-09T00:45:57Z
CAAN10,Normothermy,0.8010225125,32.3,2021-07-10T01:57:00Z
CAAN11,Transition,0.199046505,23.9,2021-07-13T00:52:09Z
CAAN12,Transition,0.28881915375000006,24.4,2021-07-14T01:36:51Z
CAAN13,Transition,0.27995613375,24.6,2021-07-19T23:03:17Z
CAAN14,Deep torpor,0.06717058095833334,16,2021-07-20T23:34:43Z
CAAN15,Transition,0.48700909166666667,24.3,2021-07-21T22:32:56Z
CAAN16,Deep torpor,0.11968359958333333,18.6,2021-07-22T23:10:01Z
CAAN17,Normothermy,0.8980307458333333,34.5,2021-07-26T23:30:41Z
CAAN18,Transition,0.5696094416666666,25,2021-07-27T23:39:57Z
