"Node_Label","My_Mapped_Entrez","Tissue","My_Genes_In_Bin"
"TBP","6908,9519","Distal Gut","TBP, TBPL1"
"TAF1","6872","Distal Gut","TAF1"
"TAF2","6873","Distal Gut","TAF2"
"TAF3","83860","Distal Gut","TAF3"
"TAF4","6874,6875","Distal Gut","TAF4, TAF4B"
"TAF5","6877,27097","Distal Gut","TAF5, TAF5L"
"TAF7L","54457","Distal Gut","TAF7L"
"TAF8","129685","Distal Gut","TAF8"
"TAF10","6881","Distal Gut","TAF10"
"TAF11","6882","Distal Gut","TAF11"
"GTF2B","2959","Distal Gut","GTF2B"
"GTF2A1","2957,11036","Distal Gut","GTF2A1, GTF2A1L"
"GTF2A2","2958","Distal Gut","GTF2A2"
"GTF2I","2969","Distal Gut","GTF2I"
"GTF2F2","2963","Distal Gut","GTF2F2"
"GTF2E1","2960","Distal Gut","GTF2E1"
"GTF2E2","2961","Distal Gut","GTF2E2"
"GTF2H1","2965","Distal Gut","GTF2H1"
"GTF2H3","2967","Distal Gut","GTF2H3"
"ERCC3","2071","Distal Gut","ERCC3"
"TAF13","6884","Distal Gut","TAF13"
"TAF15","8148","Distal Gut","TAF15"
"GTF2H5","404672","Distal Gut","GTF2H5"
"CDK7","1022","Distal Gut","CDK7"
"MNAT1","4331","Distal Gut","MNAT1"
"CCNH","902","Distal Gut","CCNH"
