"Node_Label","My_Mapped_Entrez","Tissue","My_Genes_In_Bin"
"TBP","6908,9519","Heart","TBP, TBPL1"
"TAF1","6872","Heart","TAF1"
"TAF2","6873","Heart","TAF2"
"TAF3","83860","Heart","TAF3"
"TAF4","6874,6875","Heart","TAF4, TAF4B"
"TAF5","6877,27097","Heart","TAF5, TAF5L"
"TAF7L","54457","Heart","TAF7L"
"TAF8","129685","Heart","TAF8"
"TAF10","6881","Heart","TAF10"
"TAF11","6882","Heart","TAF11"
"GTF2B","2959","Heart","GTF2B"
"GTF2A1","2957,11036","Heart","GTF2A1, GTF2A1L"
"GTF2A2","2958","Heart","GTF2A2"
"GTF2I","2969","Heart","GTF2I"
"GTF2F2","2963","Heart","GTF2F2"
"GTF2E1","2960","Heart","GTF2E1"
"GTF2E2","2961","Heart","GTF2E2"
"GTF2H1","2965","Heart","GTF2H1"
"GTF2H3","2967","Heart","GTF2H3"
"ERCC3","2071","Heart","ERCC3"
"TAF13","6884","Heart","TAF13"
"TAF15","8148","Heart","TAF15"
"GTF2H5","404672","Heart","GTF2H5"
"CDK7","1022","Heart","CDK7"
"MNAT1","4331","Heart","MNAT1"
"CCNH","902","Heart","CCNH"
