"Node_Label","My_Mapped_Entrez","Tissue","My_Genes_In_Bin"
"TBP","6908,9519","Liver","TBP, TBPL1"
"TAF1","6872","Liver","TAF1"
"TAF2","6873","Liver","TAF2"
"TAF3","83860","Liver","TAF3"
"TAF4","6874,6875","Liver","TAF4, TAF4B"
"TAF5","6877,27097","Liver","TAF5, TAF5L"
"TAF7L","54457","Liver","TAF7L"
"TAF8","129685","Liver","TAF8"
"TAF10","6881","Liver","TAF10"
"TAF11","6882","Liver","TAF11"
"GTF2B","2959","Liver","GTF2B"
"GTF2A1","2957,11036","Liver","GTF2A1, GTF2A1L"
"GTF2A2","2958","Liver","GTF2A2"
"GTF2I","2969","Liver","GTF2I"
"GTF2F2","2963","Liver","GTF2F2"
"GTF2E1","2960","Liver","GTF2E1"
"GTF2E2","2961","Liver","GTF2E2"
"GTF2H1","2965","Liver","GTF2H1"
"GTF2H3","2967","Liver","GTF2H3"
"ERCC3","2071","Liver","ERCC3"
"TAF13","6884","Liver","TAF13"
"TAF15","8148","Liver","TAF15"
"GTF2H5","404672","Liver","GTF2H5"
"CDK7","1022","Liver","CDK7"
"MNAT1","4331","Liver","MNAT1"
"CCNH","902","Liver","CCNH"
