"Node_Label","My_Mapped_Entrez","Tissue","My_Genes_In_Bin"
"TBP","6908,9519","Lungs","TBP, TBPL1"
"TAF1","6872","Lungs","TAF1"
"TAF2","6873","Lungs","TAF2"
"TAF3","83860","Lungs","TAF3"
"TAF4","6874,6875","Lungs","TAF4, TAF4B"
"TAF5","6877,27097","Lungs","TAF5, TAF5L"
"TAF7L","54457","Lungs","TAF7L"
"TAF8","129685","Lungs","TAF8"
"TAF10","6881","Lungs","TAF10"
"TAF11","6882","Lungs","TAF11"
"GTF2B","2959","Lungs","GTF2B"
"GTF2A1","2957,11036","Lungs","GTF2A1, GTF2A1L"
"GTF2A2","2958","Lungs","GTF2A2"
"GTF2I","2969","Lungs","GTF2I"
"GTF2F2","2963","Lungs","GTF2F2"
"GTF2E1","2960","Lungs","GTF2E1"
"GTF2E2","2961","Lungs","GTF2E2"
"GTF2H1","2965","Lungs","GTF2H1"
"GTF2H3","2967","Lungs","GTF2H3"
"ERCC3","2071","Lungs","ERCC3"
"TAF13","6884","Lungs","TAF13"
"TAF15","8148","Lungs","TAF15"
"GTF2H5","404672","Lungs","GTF2H5"
"CDK7","1022","Lungs","CDK7"
"MNAT1","4331","Lungs","MNAT1"
"CCNH","902","Lungs","CCNH"
