"Node_Label","My_Mapped_Entrez","Tissue","My_Genes_In_Bin"
"TBP","6908,9519","Medial Gut","TBP, TBPL1"
"TAF1","6872","Medial Gut","TAF1"
"TAF2","6873","Medial Gut","TAF2"
"TAF3","83860","Medial Gut","TAF3"
"TAF4","6874,6875","Medial Gut","TAF4, TAF4B"
"TAF5","6877,27097","Medial Gut","TAF5, TAF5L"
"TAF7L","54457","Medial Gut","TAF7L"
"TAF8","129685","Medial Gut","TAF8"
"TAF10","6881","Medial Gut","TAF10"
"TAF11","6882","Medial Gut","TAF11"
"GTF2B","2959","Medial Gut","GTF2B"
"GTF2A1","2957,11036","Medial Gut","GTF2A1, GTF2A1L"
"GTF2A2","2958","Medial Gut","GTF2A2"
"GTF2I","2969","Medial Gut","GTF2I"
"GTF2F2","2963","Medial Gut","GTF2F2"
"GTF2E1","2960","Medial Gut","GTF2E1"
"GTF2E2","2961","Medial Gut","GTF2E2"
"GTF2H1","2965","Medial Gut","GTF2H1"
"GTF2H3","2967","Medial Gut","GTF2H3"
"ERCC3","2071","Medial Gut","ERCC3"
"TAF13","6884","Medial Gut","TAF13"
"TAF15","8148","Medial Gut","TAF15"
"GTF2H5","404672","Medial Gut","GTF2H5"
"CDK7","1022","Medial Gut","CDK7"
"MNAT1","4331","Medial Gut","MNAT1"
"CCNH","902","Medial Gut","CCNH"
