"Node_Label","My_Mapped_Entrez","Tissue","My_Genes_In_Bin"
"TBP","6908,9519","Pectoral","TBP, TBPL1"
"TAF1","6872","Pectoral","TAF1"
"TAF2","6873","Pectoral","TAF2"
"TAF3","83860","Pectoral","TAF3"
"TAF4","6874,6875","Pectoral","TAF4, TAF4B"
"TAF5","6877,27097","Pectoral","TAF5, TAF5L"
"TAF7L","54457","Pectoral","TAF7L"
"TAF8","129685","Pectoral","TAF8"
"TAF10","6881","Pectoral","TAF10"
"TAF11","6882","Pectoral","TAF11"
"GTF2B","2959","Pectoral","GTF2B"
"GTF2A1","2957,11036","Pectoral","GTF2A1, GTF2A1L"
"GTF2A2","2958","Pectoral","GTF2A2"
"GTF2I","2969","Pectoral","GTF2I"
"GTF2F2","2963","Pectoral","GTF2F2"
"GTF2E1","2960","Pectoral","GTF2E1"
"GTF2E2","2961","Pectoral","GTF2E2"
"GTF2H1","2965","Pectoral","GTF2H1"
"GTF2H3","2967","Pectoral","GTF2H3"
"ERCC3","2071","Pectoral","ERCC3"
"TAF13","6884","Pectoral","TAF13"
"TAF15","8148","Pectoral","TAF15"
"GTF2H5","404672","Pectoral","GTF2H5"
"CDK7","1022","Pectoral","CDK7"
"MNAT1","4331","Pectoral","MNAT1"
"CCNH","902","Pectoral","CCNH"
