"Node_Label","My_Mapped_Entrez","Tissue","My_Genes_In_Bin"
"TBP","6908,9519","Proximal Gut","TBP, TBPL1"
"TAF1","6872","Proximal Gut","TAF1"
"TAF2","6873","Proximal Gut","TAF2"
"TAF3","83860","Proximal Gut","TAF3"
"TAF4","6874,6875","Proximal Gut","TAF4, TAF4B"
"TAF5","6877,27097","Proximal Gut","TAF5, TAF5L"
"TAF7L","54457","Proximal Gut","TAF7L"
"TAF8","129685","Proximal Gut","TAF8"
"TAF10","6881","Proximal Gut","TAF10"
"TAF11","6882","Proximal Gut","TAF11"
"GTF2B","2959","Proximal Gut","GTF2B"
"GTF2A1","2957,11036","Proximal Gut","GTF2A1, GTF2A1L"
"GTF2A2","2958","Proximal Gut","GTF2A2"
"GTF2I","2969","Proximal Gut","GTF2I"
"GTF2F2","2963","Proximal Gut","GTF2F2"
"GTF2E1","2960","Proximal Gut","GTF2E1"
"GTF2E2","2961","Proximal Gut","GTF2E2"
"GTF2H1","2965","Proximal Gut","GTF2H1"
"GTF2H3","2967","Proximal Gut","GTF2H3"
"ERCC3","2071","Proximal Gut","ERCC3"
"TAF13","6884","Proximal Gut","TAF13"
"TAF15","8148","Proximal Gut","TAF15"
"GTF2H5","404672","Proximal Gut","GTF2H5"
"CDK7","1022","Proximal Gut","CDK7"
"MNAT1","4331","Proximal Gut","MNAT1"
"CCNH","902","Proximal Gut","CCNH"
